id,adult,overview,popularity,poster_path,name,vote_average,genre_ids,vote_count
4551,False,"A weekly talent competition where an array of performers – from singers and dancers, to comedians and novelty acts – vie for a $1 million cash prize.",185.1804,/nd5FjRlEdC05GUK4svGj7TpyR2b.jpg,America's Got Talent,5.706,[10764],260
607,False,"The Powerpuff Girls is a animated television series about Blossom, Bubbles, and Buttercup, three kindergarten-aged girls with superpowers, as well as their ""father"", the brainy scientist Professor Utonium, who all live in the fictional city of Townsville, USA. The girls are frequently called upon by the town's childlike and naive mayor to help fight nearby criminals using their powers.",177.195,/4CMPCuP6ihU5UvTStv23aGEEMuC.jpg,The Powerpuff Girls,7.547,"[10759, 16, 35, 10762, 10751]",933
2734,False,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",232.9413,/abWOCrIo7bbAORxcQyOFNJdnnmR.jpg,Law & Order: Special Victims Unit,7.936,"[80, 18, 9648]",3969
83319,False,Bangtan Bomb are short videos of BTS released on their YouTube channel.,150.0467,/i01uYYJoovqILhexlYA6E1CHh56.jpg,BANGTAN BOMB,9.5,[10764],2
952,False,"The Adventures of Ozzie and Harriet is an American sitcom, airing on ABC from October 3, 1952 through March 26, 1966, starring the real life Nelson family. After a long run on radio, the show was brought to television where it continued its success, running on both radio and television for a few years. The series stars Ozzie Nelson and his wife, singer Harriet Nelson, and their young sons, David and Eric ""Ricky"" Nelson. Don DeFore had a recurring role as the Nelsons' friendly neighbor ""Thorny"".",321.6628,/h9Kqsng08I3CtA5m2GVq52NVUIL.jpg,The Adventures of Ozzie and Harriet,5.9,"[35, 10751]",13
101253,False,,147.0295,,Alpha Forum,0.0,[10767],0
1408,False,"Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.",263.0702,/3Cz7ySOQJmqiuTdrc6CY0r65yDI.jpg,House,8.592,"[18, 9648, 35]",6975
8621,False,"Late Night with Jimmy Fallon is an American late-night talk show airing weeknights at 12:35 am Eastern/11:35 pm Central on NBC in the United States. The hour-long show premiered on March 2, 2009, and is hosted by actor, comedian and performer Jimmy Fallon, an alumnus of Saturday Night Live. Hip hop/neo soul band The Roots serve as the show's house band, and Steve Higgins is the show's announcer.

The third incarnation of the Late Night franchise originated by David Letterman, the program originates from NBC Studio 6B in the GE Building at 30 Rockefeller Center in New York City. The show typically opens with a brief monologue from Fallon, followed by a comedy ""desk piece,"" as well as prerecorded segments and audience competitions. The next segment is devoted to a celebrity interview, with guests ranging from actors and musicians to media personalities and political figures. The show then closes with either a musical or comedy performance. The show frequently employs digital media into its comedy, which has become crucial to its success. Fallon has been appointed to become the next host of The Tonight Show, where he will succeed the current host Jay Leno at the conclusion of the 2014 Winter Olympics, with fellow SNL alum Seth Meyers slated to replace Fallon.",355.442,/l8WzbOr7vg3WDlB3hoy32wZDxwj.jpg,Late Night with Jimmy Fallon,5.989,[10767],95
549,False,"In cases ripped from the headlines, police investigate serious and often deadly crimes, weighing the evidence and questioning the suspects until someone is taken into custody. The district attorney's office then builds a case to convict the perpetrator by proving the person guilty beyond a reasonable doubt. Working together, these expert teams navigate all sides of the complex criminal justice system to make New York a safer place.",275.1783,/6vFL8S6Cci8s7SHWXz60xOisGBC.jpg,Law & Order,7.4,"[80, 18]",618
3670,False,"Follow real-life law enforcement officers from various regions and departments of the United States armed with nothing but with cameras to capture their actions, performing their daily duty to serve and protect the public.",255.9766,/nUsdcwmoYP4DiZtJcAWkpxjRnay.jpg,Cops,6.668,[10764],176
43689,False,"Be Careful With My Heart is a 2012 Philippine daytime television drama which premiered on ABS-CBN on July 9, 2012 airing before It's Showtime. It is also broadcast worldwide on The Filipino Channel. It is topbilled by Jodi Sta. Maria and Richard Yap. It is one of the most successful teleserye of ABS-CBN.

It is the first television drama in the Philippines made by ABS-CBN to be filmed and broadcast in high definition.",339.1919,/kJlUmgQh6chfGsHgwcrtjNmg2t1.jpg,Be Careful With My Heart,6.5,"[35, 18]",2
14944,False,"Robert Montgomery Presents is an American dramatic television series which was produced by NBC from January 30, 1950 until June 24, 1957. The live show had several sponsors during its seven-year run, and the title was altered to feature the sponsor, usually Lucky Strike cigarettes, for example, Robert Montgomery Presents Your Lucky Strike Theater, ....The Johnson's Wax Program, and so on.",397.4036,/jZLS9pS4JGltYIB43c2UvXhqZqW.jpg,Robert Montgomery Presents,5.6,[18],7
81665,False,"Oscar and Hedgehog are dropped off at a strange summer camp, full of fantastical things ranging from magical camp counselors to sticky notes that are portals to other dimensions.",136.4448,/syipk7iIpV4DTvGuBuEqrVbAbaY.jpg,Summer Camp Island,7.8,"[16, 35, 10751, 10765, 9648]",44
103108,False,,123.8607,/xoTOnCc50QJBwRZKlIaM92Q8vbh.jpg,MDR um 4,5.0,[10767],4
70313,False,,145.9142,/8sf6LGaB6DzRwcsN2OMNLgkRjvO.jpg,Rodinná pouta,2.7,[],3
112261,False,The Berliner Abendschau is the news magazine for Berlin.,153.1784,/96H80JGXSEdqzRJpXiuSZfJ13K7.jpg,Abendschau,6.0,[10767],2
10536,False,"The Mike Douglas Show is an American daytime television talk show hosted by Mike Douglas that originally aired only in the Cleveland area during much of its first two years on the air. It then went into syndication in 1963 and remained on television until 1982. It was distributed by Westinghouse Broadcasting and for much of its run, originated from studios of two of the company's TV stations in Cleveland and Philadelphia.",212.8183,/qNk97cbF3dZyhkfIcJhjFDD64sM.jpg,The Mike Douglas Show,5.375,"[35, 10767]",8
62643,False,"When heroes alone are not enough ... the world needs legends. Having seen the future, one he will desperately try to prevent from happening, time-traveling rogue Rip Hunter is tasked with assembling a disparate group of both heroes and villains to confront an unstoppable threat — one in which not only is the planet at stake, but all of time itself. Can this ragtag team defeat an immortal threat unlike anything they have ever known?",147.1118,/qNgAcg4gNYbZ9mySLB9ZX4ehZb6.jpg,DC's Legends of Tomorrow,7.275,"[10759, 10765, 18]",2355
1027,False,"The Carol Burnett Show is an American variety/sketch comedy television show starring Carol Burnett, Harvey Korman, Vicki Lawrence, Lyle Waggoner, and Tim Conway. It originally ran on CBS from September 11, 1967, to March 29, 1978, for 278 episodes and originated from CBS Television City's Studio 33. The series won 25 prime time Emmy Awards, was ranked No. 16 on TV Guide's 50 Greatest TV Shows of All Time in 2002 and in 2007 was listed as one of Time magazine's ""100 Best TV Shows of All Time.""",334.2885,/dGd9pG4PGzpJbdbPEnFxKrJ24z8.jpg,The Carol Burnett Show,7.7,"[35, 10751]",63
4601,False,The third installment of the “Law & Order” franchise takes viewers deep into the minds of its criminals while following the intense psychological approaches the Major Case Squad uses to solve its crimes.,232.7354,/zgBg8gTCELQg73awE7qAuV06c4Z.jpg,Law & Order: Criminal Intent,7.572,[18],353
4606,False,"The animated stories of Garfield the cat, Odie the dog, their owner Jon and the trouble they get into. And also Orson the Pig and his adventures on a farm with his fellow farm animals.",256.3476,/3HyTfZ9sSCoZPYrYHMffhRVm3Af.jpg,Garfield and Friends,7.272,"[16, 35, 10762]",362
1622,False,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",240.8228,/KoYWXbnYuS3b0GyQPkbuexlVK9.jpg,Supernatural,8.296,"[18, 9648, 10765]",7863
45140,False,"Robin, Starfire, Raven, Beast Boy and Cyborg return in all-new, comedic adventures. They may be super heroes who save the world every day ... but somebody still has to do the laundry!",207.2052,/udaLIJ6Na7GOHjvTlyP9JFPTccv.jpg,Teen Titans Go!,6.496,"[16, 10759, 35, 10751, 10765]",658
79593,False,"Thomas Magnum, a decorated former Navy SEAL, returns home from Afghanistan and applies his military skills to become a private investigator in Hawaii taking jobs no one else will—with the help of fellow vets T.C. Calvin and Rick Wright, and former MI:6 agent, Juliet Higgins.",270.0764,/hN7DKusbmKPqSZnMG5hemioMAiE.jpg,Magnum P.I.,7.579,"[10759, 18, 80]",304
61175,False,"A young boy takes his mother's place in a group of gemstone-based beings, and must learn to control his powers.",260.0438,/qkcZqbfvXEenUAwoFi6YTBB3WLO.jpg,Steven Universe,8.411,"[16, 35, 10759, 10751, 10765]",1237
44337,False,"Based on the week’s news and fronted by guest hosts, this extended version of the satirical news quiz features more of the stuff that wouldn't fit into the regular programme.",198.4342,/aOZuKQ2uWRfZPzn61bnzQT5LhMR.jpg,Have I Got a Bit More News for You,7.0,"[10763, 35]",16
88786,False,"Two half-brothers spend a summer with their grandma in Monte Macabre, a small and mysterious town, where the myths and legends of Latin American folklore come to life.",277.0046,/4EmKaihMUGP8hyEvvTApQj19e1c.jpg,Victor and Valentino,6.0,"[16, 10759, 35, 9648]",16
60694,False,"A half-hour satirical look at the week in news, politics and current events.",230.8965,/b12eM3FXNjN7yM7XYTIdmeQRud9.jpg,Last Week Tonight with John Oliver,7.9,"[10767, 35, 10763]",718
2912,False,"America's favorite quiz show where contestants are presented with general knowledge clues in the form of answers, and must phrase their responses in question form.",229.6078,/11rWvQOEZBouD7wet0sWHwu7NDs.jpg,Jeopardy!,6.933,"[10764, 10751]",142
